City ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
80,Leningradskiy,100,RU,1594694185,80.0,69.38,178.42,41.22,11.63
81,Brigantine,90,US,1594694759,57.0,39.41,-74.36,80.6,3.36
82,Maceió,75,BR,1594694417,94.0,-9.67,-35.74,71.6,3.36
83,Sompeta,100,IN,1594694759,76.0,18.93,84.6,84.15,6.49
84,Grand Gaube,0,MU,1594694760,83.0,-20.01,57.66,68.0,4.0
85,Takapau,99,NZ,1594694760,89.0,-40.03,176.35,51.01,3.94
86,Muzhi,21,RU,1594694760,58.0,65.37,64.67,58.8,13.38
87,Ndioum,20,SN,1594694760,56.0,16.51,-14.65,85.95,20.83
88,Arrondissement de Saint-Gaudens,100,FR,1594694760,82.0,43.08,0.67,62.01,6.93
89,Tuktoyaktuk,75,CA,1594694032,52.0,69.45,-133.04,64.4,8.05
90,Egvekinot,96,RU,1594694461,74.0,66.32,-179.17,47.35,3.4
91,Yellowknife,90,CA,1594694180,100.0,62.46,-114.35,57.2,18.34
92,Nikolskoye,0,RU,1594694207,87.0,59.7,30.79,51.01,6.71
93,Airai,29,TL,1594694009,58.0,-8.93,125.41,70.05,5.59
94,Kibala,100,TD,1594694761,94.0,9.11,18.35,72.7,4.76
95,Ilulissat,100,GL,1594694176,87.0,69.22,-51.1,44.6,6.93
96,Cidreira,0,BR,1594694170,69.0,-30.18,-50.21,51.17,15.17
97,George Town,40,MY,1594693981,83.0,5.41,100.34,84.2,4.7
98,Cayenne,1,GF,1594694530,94.0,4.93,-52.33,78.8,6.91
99,Resplendor,32,BR,1594694761,71.0,-19.33,-41.26,66.74,1.34
100,Burnie,0,AU,1594694761,51.0,-41.07,145.92,55.99,5.01
101,Bethel,20,US,1594694166,64.0,41.37,-73.41,73.99,3.36
102,Merrill,1,US,1594694761,73.0,45.18,-89.68,73.4,5.82
103,Fare,100,PF,1594694761,77.0,-16.7,-151.02,79.97,9.98
104,Capitán Bado,99,PY,1594694761,96.0,-23.27,-55.53,64.29,9.93
105,Hermanus,100,ZA,1594694026,76.0,-34.42,19.23,48.99,8.01
106,Manta,26,EC,1594694762,87.0,-0.95,-80.73,69.71,9.93
107,Leshukonskoye,100,RU,1594694447,95.0,64.9,45.76,54.25,6.64
108,Mocuba,0,MZ,1594694762,96.0,-16.84,36.99,56.44,2.68
